baseline,model A,model B,model C,model D,model E,model F,model G
0.5066858,0.49251452,0.50879399,0.55950767,0.5000456,0.49865818,0.60579786,0.6331153
0.51068616,0.49406225,0.51503246,0.58590568,0.5026503,0.48860633,0.60613677,0.62842234
0.50959753,0.49263322,0.53378283,0.56706693,0.46554377,0.5054452,0.60921017,0.62754079
0.50589209,0.49495272,0.52647857,0.5212562,0.51175128,0.50562163,0.61570767,0.63807126
0.50936303,0.4949043,0.53193693,0.56595202,0.47472212,0.51431797,0.60598339,0.63278273
0.50937063,0.49308661,0.52124907,0.55458257,0.51595082,0.51155237,0.61656607,0.62619656
0.51050955,0.4978268,0.54266369,0.52014122,0.50867557,0.50409944,0.60892292,0.61335589
0.50932641,0.50040705,0.53678439,0.5739739,0.47023051,0.48178311,0.61905755,0.63252092
0.5105711,0.50265574,0.52413103,0.55285639,0.49021847,0.49975587,0.62270765,0.63603595
0.50859678,0.4975737,0.54844398,0.572278,0.50687116,0.49961937,0.59719039,0.64323212
